2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Major Occupation Group
"        Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,35.6,32.5,0.0,0.0,-3.2,-8.9,6.1,3.0,45350.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,15.2,13.8,0.0,0.0,-1.4,-9.5,1.2,1.3,44240.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Layout workers, metal and plastic",51-4192,Line item,6.9,6.7,0.0,0.0,-0.2,-3.5,1.0,0.6,62270.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,32.4,28.8,0.0,0.0,-3.6,-11.1,1.2,2.6,39740.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Tool grinders, filers, and sharpeners",51-4194,Line item,6.8,6.3,0.0,0.0,-0.5,-7.8,1.2,0.6,46410.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Metal workers and plastic workers, all other",51-4199,Line item,20.7,19.2,0.0,0.0,-1.4,-6.9,1.2,1.8,41200.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Prepress technicians and workers,51-5111,Line item,23.3,19.0,0.0,0.0,-4.3,-18.5,0.3,2.2,45070.0,Postsecondary nondegree award,,,Production
      Printing press operators,51-5112,Line item,156.2,141.3,0.1,0.1,-14.9,-9.5,4.1,14.3,41860.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Print binding and finishing workers,51-5113,Line item,38.1,31.4,0.0,0.0,-6.7,-17.5,,3.4,38100.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Laundry and dry-cleaning workers,51-6011,Line item,195.4,206.2,0.1,0.1,10.8,5.5,3.0,28.9,31050.0,No formal educational credential,,Short-term on-the-job training,Production
"      Pressers, textile, garment, and related materials",51-6021,Line item,29.3,25.8,0.0,0.0,-3.5,-12.0,,2.9,32240.0,No formal educational credential,,Short-term on-the-job training,Production
      Sewing machine operators,51-6031,Line item,128.7,111.8,0.1,0.1,-17.0,-13.2,10.2,11.9,34440.0,No formal educational credential,,Short-term on-the-job training,Production
        Shoe and leather workers and repairers,51-6041,Line item,9.4,8.3,0.0,0.0,-1.1,-11.9,21.7,0.8,36020.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Shoe machine operators and tenders,51-6042,Line item,6.1,5.2,0.0,0.0,-0.8,-13.6,21.6,0.5,36970.0,High school diploma or equivalent,,Short-term on-the-job training,Production
"        Sewers, hand",51-6051,Line item,5.6,4.9,0.0,0.0,-0.7,-12.2,38.0,0.6,32240.0,No formal educational credential,,Moderate-term on-the-job training,Production
"        Tailors, dressmakers, and custom sewers",51-6052,Line item,24.6,23.0,0.0,0.0,-1.6,-6.5,38.0,3.0,36650.0,No formal educational credential,,Moderate-term on-the-job training,Production
        Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,6.9,6.1,0.0,0.0,-0.7,-10.3,1.7,0.7,35340.0,High school diploma or equivalent,,Short-term on-the-job training,Production
"        Textile cutting machine setters, operators, and tenders",51-6062,Line item,9.9,8.7,0.0,0.0,-1.2,-11.7,1.7,1.0,36620.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,16.4,14.4,0.0,0.0,-1.9,-11.8,1.7,1.7,37130.0,High school diploma or equivalent,,Short-term on-the-job training,Production
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,24.1,22.0,0.0,0.0,-2.1,-8.8,1.7,2.6,35530.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,15.1,14.7,0.0,0.0,-0.5,-3.1,3.2,1.9,44030.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Fabric and apparel patternmakers,51-6092,Line item,2.7,2.4,0.0,0.0,-0.3,-11.7,3.2,0.3,62510.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Upholsterers,51-6093,Line item,30.7,30.1,0.0,0.0,-0.6,-2.0,16.7,3.0,42730.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Textile, apparel, and furnishings workers, all other",51-6099,Line item,15.6,14.1,0.0,0.0,-1.5,-9.5,3.1,1.8,35130.0,High school diploma or equivalent,,Short-term on-the-job training,Production
      Cabinetmakers and bench carpenters,51-7011,Line item,99.7,97.0,0.1,0.1,-2.7,-2.7,12.9,9.0,43260.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Furniture finishers,51-7021,Line item,18.2,17.9,0.0,0.0,-0.3,-1.6,22.2,1.8,39790.0,High school diploma or equivalent,,Short-term on-the-job training,Production
"        Model makers, wood",51-7031,Line item,1.1,1.0,0.0,0.0,-0.1,-12.8,47.8,0.1,45040.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Patternmakers, wood",51-7032,Line item,0.5,0.4,0.0,0.0,-0.1,-13.5,47.5,0.0,48630.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Sawing machine setters, operators, and tenders, wood",51-7041,Line item,45.6,45.3,0.0,0.0,-0.2,-0.5,5.3,4.9,38000.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,60.6,59.3,0.0,0.0,-1.3,-2.2,0.3,6.2,38260.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"      Woodworkers, all other",51-7099,Line item,15.1,13.1,0.0,0.0,-2.0,-13.5,48.3,1.3,37760.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Nuclear power reactor operators,51-8011,Line item,5.8,5.2,0.0,0.0,-0.6,-10.3,,0.4,120350.0,High school diploma or equivalent,,Long-term on-the-job training,Production
        Power distributors and dispatchers,51-8012,Line item,9.2,9.1,0.0,0.0,-0.1,-1.4,,0.8,104750.0,High school diploma or equivalent,,Long-term on-the-job training,Production
        Power plant operators,51-8013,Line item,32.4,29.3,0.0,0.0,-3.1,-9.4,,2.5,97010.0,High school diploma or equivalent,,Long-term on-the-job training,Production
      Stationary engineers and boiler operators,51-8021,Line item,35.5,36.9,0.0,0.0,1.4,4.1,,3.8,67640.0,High school diploma or equivalent,,Long-term on-the-job training,Production
      Water and wastewater treatment plant and system operators,51-8031,Line item,124.7,117.2,0.1,0.1,-7.5,-6.0,,10.3,54890.0,High school diploma or equivalent,,Long-term on-the-job training,Production
        Chemical plant and system operators,51-8091,Line item,18.4,18.2,0.0,0.0,-0.1,-0.8,,1.7,80030.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Gas plant operators,51-8092,Line item,16.1,14.6,0.0,0.0,-1.6,-9.8,,1.3,82560.0,High school diploma or equivalent,,Long-term on-the-job training,Production
"        Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,33.6,32.8,0.0,0.0,-0.8,-2.3,,3.0,94580.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Plant and system operators, all other",51-8099,Line item,15.8,16.3,0.0,0.0,0.5,3.2,,1.5,56940.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Chemical equipment operators and tenders,51-9011,Line item,121.9,115.4,0.1,0.1,-6.5,-5.4,,11.1,51720.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,53.4,54.3,0.0,0.0,0.9,1.7,,5.4,48120.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,26.5,26.3,0.0,0.0,-0.3,-1.0,1.4,2.6,44510.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Grinding and polishing workers, hand",51-9022,Line item,12.5,10.3,0.0,0.0,-2.2,-17.8,1.4,0.9,38940.0,No formal educational credential,,Moderate-term on-the-job training,Production
"        Mixing and blending machine setters, operators, and tenders",51-9023,Line item,107.8,112.4,0.1,0.1,4.7,4.3,1.4,11.3,46100.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Cutters and trimmers, hand",51-9031,Line item,6.9,5.6,0.0,0.0,-1.3,-18.4,,0.5,37040.0,No formal educational credential,,Short-term on-the-job training,Production
"        Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,52.5,51.1,0.0,0.0,-1.4,-2.7,0.3,5.2,44310.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,57.2,58.7,0.0,0.0,1.6,2.7,,5.8,42670.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"      Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,15.2,15.5,0.0,0.0,0.3,2.0,3.1,1.6,45640.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"      Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,595.5,577.7,0.4,0.3,-17.8,-3.0,1.3,65.2,45850.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Jewelers and precious stone and metal workers,51-9071,Line item,46.2,44.5,0.0,0.0,-1.7,-3.7,47.7,5.4,47450.0,High school diploma or equivalent,,Long-term on-the-job training,Production
        Dental laboratory technicians,51-9081,Line item,35.1,33.7,0.0,0.0,-1.5,-4.2,3.4,3.6,47690.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Medical appliance technicians,51-9082,Line item,13.0,13.5,0.0,0.0,0.5,3.9,3.4,1.5,44960.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Ophthalmic laboratory technicians,51-9083,Line item,18.9,19.2,0.0,0.0,0.3,1.6,3.4,2.1,37720.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Packaging and filling machine operators and tenders,51-9111,Line item,367.9,392.5,0.2,0.2,24.6,6.7,0.1,43.9,38330.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Painting, coating, and decorating workers",51-9123,Line item,11.4,11.6,0.0,0.0,0.2,1.5,5.8,1.1,40230.0,No formal educational credential,,Moderate-term on-the-job training,Production
"        Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,167.9,169.9,0.1,0.1,2.0,1.2,5.9,15.8,45560.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Semiconductor processing technicians,51-9141,Line item,26.6,30.1,0.0,0.0,3.4,13.0,,3.4,45850.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Photographic process workers and processing machine operators,51-9151,Line item,9.2,9.4,0.0,0.0,0.1,1.5,38.3,1.3,35620.0,High school diploma or equivalent,,Short-term on-the-job training,Production
        Computer numerically controlled tool operators,51-9161,Line item,189.9,172.4,0.1,0.1,-17.5,-9.2,0.2,15.2,48550.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Computer numerically controlled tool programmers,51-9162,Line item,28.3,32.5,0.0,0.0,4.2,14.9,0.2,3.3,63440.0,Postsecondary nondegree award,,Moderate-term on-the-job training,Production
        Adhesive bonding machine operators and tenders,51-9191,Line item,12.5,12.4,0.0,0.0,-0.1,-0.5,,1.2,43540.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,15.8,16.6,0.0,0.0,0.7,4.5,5.8,1.8,39340.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Cooling and freezing equipment operators and tenders,51-9193,Line item,7.1,7.8,0.0,0.0,0.7,9.4,5.5,0.9,42420.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Etchers and engravers,51-9194,Line item,11.7,11.9,0.0,0.0,0.3,2.3,30.2,1.5,40040.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
"        Molders, shapers, and casters, except metal and plastic",51-9195,Line item,49.2,51.8,0.0,0.0,2.6,5.3,21.4,6.6,43310.0,High school diploma or equivalent,,Long-term on-the-job training,Production
"        Paper goods machine setters, operators, and tenders",51-9196,Line item,95.2,83.3,0.1,0.0,-11.9,-12.5,,8.0,47250.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Tire builders,51-9197,Line item,20.7,21.3,0.0,0.0,0.6,3.1,,2.6,54080.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
        Helpers--production workers,51-9198,Line item,183.5,168.4,0.1,0.1,-15.2,-8.3,0.9,25.9,36700.0,High school diploma or equivalent,,Short-term on-the-job training,Production
"        Production workers, all other",51-9199,Line item,265.1,270.1,0.2,0.2,5.0,1.9,5.6,29.6,37430.0,High school diploma or equivalent,,Moderate-term on-the-job training,Production
      Aircraft cargo handling supervisors,53-1041,Line item,9.1,9.7,0.0,0.0,0.7,7.7,,1.0,58920.0,High school diploma or equivalent,Less than 5 years,,Transportation and Material Moving
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Line item,594.1,625.6,0.4,0.4,31.5,5.3,0.1,62.7,60510.0,High school diploma or equivalent,Less than 5 years,,Transportation and Material Moving
"        Airline pilots, copilots, and flight engineers",53-2011,Line item,96.3,101.1,0.1,0.1,4.8,5.0,,11.6,219140.0,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,Transportation and Material Moving
        Commercial pilots,53-2012,Line item,56.5,59.7,0.0,0.0,3.2,5.7,6.6,6.9,113080.0,Postsecondary nondegree award,,Moderate-term on-the-job training,Transportation and Material Moving
        Air traffic controllers,53-2021,Line item,24.0,24.7,0.0,0.0,0.7,2.9,,2.2,137380.0,Associate's degree,,Long-term on-the-job training,Transportation and Material Moving
        Airfield operations specialists,53-2022,Line item,18.7,19.7,0.0,0.0,1.0,5.3,,1.8,51140.0,High school diploma or equivalent,,Long-term on-the-job training,Transportation and Material Moving
      Flight attendants,53-2031,Line item,130.3,143.2,0.1,0.1,12.9,9.9,0.3,19.5,68370.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Transportation and Material Moving
"      Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,11.6,11.6,0.0,0.0,0.0,-0.1,,1.5,32580.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
        Driver/sales workers,53-3031,Line item,503.2,549.3,0.3,0.3,46.1,9.2,6.6,58.1,35420.0,High school diploma or equivalent,,Short-term on-the-job training,Transportation and Material Moving
        Heavy and tractor-trailer truck drivers,53-3032,Line item,2211.3,2313.4,1.3,1.3,102.0,4.6,6.6,240.3,54320.0,Postsecondary nondegree award,,Short-term on-the-job training,Transportation and Material Moving
        Light truck drivers,53-3033,Line item,1092.6,1188.9,0.7,0.7,96.3,8.8,6.6,125.6,42470.0,High school diploma or equivalent,,Short-term on-the-job training,Transportation and Material Moving
"        Bus drivers, school",53-3051,Line item,365.3,368.9,0.2,0.2,3.6,1.0,0.4,55.1,45660.0,High school diploma or equivalent,,Short-term on-the-job training,Transportation and Material Moving
"        Bus drivers, transit and intercity",53-3052,Line item,194.1,204.1,0.1,0.1,10.1,5.2,1.1,24.7,60170.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
        Shuttle drivers and chauffeurs,53-3053,Line item,222.3,241.3,0.1,0.1,19.0,8.5,5.3,32.1,35240.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
        Taxi drivers,53-3054,Line item,171.1,193.8,0.1,0.1,22.7,13.3,89.7,20.0,34680.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
"      Motor vehicle operators, all other",53-3099,Line item,86.5,93.6,0.1,0.1,7.1,8.3,38.9,13.0,35690.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
        Locomotive engineers,53-4011,Line item,27.5,27.9,0.0,0.0,0.4,1.3,,2.3,74770.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Transportation and Material Moving
"        Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,2.4,2.4,0.0,0.0,0.0,0.5,,0.2,57070.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
"      Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,12.0,12.1,0.0,0.0,0.2,1.5,,1.1,63540.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
      Railroad conductors and yardmasters,53-4031,Line item,41.1,41.9,0.0,0.0,0.8,1.9,,3.7,71130.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
      Subway and streetcar operators,53-4041,Line item,15.4,16.0,0.0,0.0,0.7,4.2,,1.5,84270.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
"      Rail transportation workers, all other",53-4099,Line item,1.9,2.0,0.0,0.0,0.1,3.5,,0.2,44660.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
      Sailors and marine oilers,53-5011,Line item,32.1,33.2,0.0,0.0,1.1,3.5,,3.8,48400.0,No formal educational credential,,Moderate-term on-the-job training,Transportation and Material Moving
"        Captains, mates, and pilots of water vessels",53-5021,Line item,40.2,41.2,0.0,0.0,0.9,2.3,11.0,4.4,88730.0,Postsecondary nondegree award,Less than 5 years,,Transportation and Material Moving
        Motorboat operators,53-5022,Line item,3.1,3.2,0.0,0.0,0.1,3.4,10.3,0.3,46420.0,Postsecondary nondegree award,Less than 5 years,,Transportation and Material Moving
      Ship engineers,53-5031,Line item,9.5,9.8,0.0,0.0,0.3,3.4,,1.1,94270.0,Postsecondary nondegree award,Less than 5 years,,Transportation and Material Moving
      Bridge and lock tenders,53-6011,Line item,3.6,3.6,0.0,0.0,0.0,0.5,,0.4,49120.0,High school diploma or equivalent,,Short-term on-the-job training,Transportation and Material Moving
      Parking attendants,53-6021,Line item,120.9,127.3,0.1,0.1,6.4,5.3,0.7,18.6,32840.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
        Automotive and watercraft service attendants,53-6031,Line item,94.6,94.5,0.1,0.1,-0.1,-0.1,0.6,14.3,33820.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
        Aircraft service attendants,53-6032,Line item,25.2,26.7,0.0,0.0,1.6,6.2,0.6,4.1,39110.0,High school diploma or equivalent,,Short-term on-the-job training,Transportation and Material Moving
      Traffic technicians,53-6041,Line item,7.8,8.2,0.0,0.0,0.3,4.2,,0.8,52240.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
      Transportation inspectors,53-6051,Line item,29.7,30.8,0.0,0.0,1.2,3.9,3.5,2.9,87290.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
      Passenger attendants,53-6061,Line item,21.6,22.9,0.0,0.0,1.3,5.8,6.3,3.3,35620.0,High school diploma or equivalent,,Short-term on-the-job training,Transportation and Material Moving
"      Transportation workers, all other",53-6099,Line item,11.3,11.9,0.0,0.0,0.6,5.3,1.6,1.2,40300.0,High school diploma or equivalent,,Short-term on-the-job training,Transportation and Material Moving
      Conveyor operators and tenders,53-7011,Line item,30.4,30.1,0.0,0.0,-0.3,-0.9,20.9,2.8,39260.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
      Crane and tower operators,53-7021,Line item,42.6,44.2,0.0,0.0,1.6,3.7,,4.1,64690.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Transportation and Material Moving
      Dredge operators,53-7031,Line item,1.2,1.2,0.0,0.0,0.0,2.1,17.6,0.1,50440.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
      Hoist and winch operators,53-7041,Line item,2.7,2.7,0.0,0.0,0.0,-0.5,18.2,0.3,55950.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
      Industrial truck and tractor operators,53-7051,Line item,770.8,791.9,0.5,0.5,21.2,2.7,0.2,78.2,44470.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
        Cleaners of vehicles and equipment,53-7061,Line item,402.7,420.6,0.2,0.2,17.8,4.4,7.6,56.5,34150.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
"        Laborers and freight, stock, and material movers, hand",53-7062,Line item,3004.8,3130.6,1.8,1.8,125.7,4.2,1.0,409.0,37660.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
        Machine feeders and offbearers,53-7063,Line item,43.8,38.2,0.0,0.0,-5.6,-12.7,,5.1,39250.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
"        Packers and packagers, hand",53-7064,Line item,641.3,614.3,0.4,0.4,-26.9,-4.2,0.6,84.5,34830.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
        Stockers and order fillers,53-7065,Line item,2864.7,3033.3,1.7,1.7,168.6,5.9,0.1,485.8,36390.0,High school diploma or equivalent,,Short-term on-the-job training,Transportation and Material Moving
        Gas compressor and gas pumping station operators,53-7071,Line item,4.5,4.5,0.0,0.0,0.1,1.2,,0.5,61870.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
"        Pump operators, except wellhead pumpers",53-7072,Line item,11.7,12.3,0.0,0.0,0.6,5.0,,1.3,54690.0,High school diploma or equivalent,,Moderate-term on-the-job training,Transportation and Material Moving
        Wellhead pumpers,53-7073,Line item,19.4,19.0,0.0,0.0,-0.4,-2.0,,2.0,71830.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Transportation and Material Moving
      Refuse and recyclable material collectors,53-7081,Line item,148.4,151.9,0.1,0.1,3.5,2.3,4.2,18.0,45760.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
"      Tank car, truck, and ship loaders",53-7121,Line item,12.7,13.2,0.0,0.0,0.5,3.9,7.2,1.4,58620.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
"      Material moving workers, all other",53-7199,Line item,26.5,27.6,0.0,0.0,1.2,4.4,6.8,3.0,40310.0,No formal educational credential,,Short-term on-the-job training,Transportation and Material Moving
