occupational_code,education,importance
11-2021,Bachelor's Degree,55.76
11-2021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-2021,Master's Degree,24.36
11-2021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-2021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",10.52
11-2021,Doctoral Degree,0.0
11-2021,Post-Doctoral Training,0.0
11-2022,Less than a High School Diploma,0.0
11-2022,"High School Diploma - or the equivalent (for example, GED)",0.0
11-2022,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-2022,Some College Courses,4.35
11-2022,Associate's Degree (or other 2-year degree),13.04
11-2022,Bachelor's Degree,65.22
11-2022,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,8.7
11-2022,Master's Degree,8.7
11-2022,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-2022,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-2022,Doctoral Degree,0.0
11-2022,Post-Doctoral Training,0.0
11-2032,,
11-2033,,
11-3012,Less than a High School Diploma,0.0
11-3012,"High School Diploma - or the equivalent (for example, GED)",33.56
11-3012,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",13.16
11-3012,Some College Courses,13.18
11-3012,Associate's Degree (or other 2-year degree),11.84
11-3012,Bachelor's Degree,24.28
11-3012,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-3012,Master's Degree,3.87
11-3012,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.06
11-3012,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3012,Doctoral Degree,0.06
11-3012,Post-Doctoral Training,0.0
11-3013,Less than a High School Diploma,0.0
11-3013,"High School Diploma - or the equivalent (for example, GED)",14.59
11-3013,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",9.36
11-3013,Some College Courses,11.3
11-3013,Associate's Degree (or other 2-year degree),57.34
11-3013,Bachelor's Degree,7.06
11-3013,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.18
11-3013,Master's Degree,0.18
11-3013,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-3013,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3013,Doctoral Degree,0.0
11-3013,Post-Doctoral Training,0.0
11-3021,Less than a High School Diploma,0.0
11-3021,"High School Diploma - or the equivalent (for example, GED)",1.26
11-3021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",5.77
11-3021,Some College Courses,25.96
11-3021,Associate's Degree (or other 2-year degree),2.16
11-3021,Bachelor's Degree,47.68
11-3021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,2.8
11-3021,Master's Degree,14.36
11-3021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-3021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3021,Doctoral Degree,0.0
11-3021,Post-Doctoral Training,0.0
11-3031,Less than a High School Diploma,0.0
11-3031,"High School Diploma - or the equivalent (for example, GED)",14.24
11-3031,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-3031,Some College Courses,4.56
11-3031,Associate's Degree (or other 2-year degree),3.9
11-3031,Bachelor's Degree,56.31
11-3031,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,21.0
11-3031,Master's Degree,0.0
11-3031,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-3031,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3031,Doctoral Degree,0.0
11-3031,Post-Doctoral Training,0.0
11-3051,Less than a High School Diploma,5.26
11-3051,"High School Diploma - or the equivalent (for example, GED)",29.42
11-3051,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",16.21
11-3051,Some College Courses,11.51
11-3051,Associate's Degree (or other 2-year degree),8.1
11-3051,Bachelor's Degree,25.8
11-3051,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,2.45
11-3051,Master's Degree,1.24
11-3051,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-3051,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3051,Doctoral Degree,0.0
11-3051,Post-Doctoral Training,0.0
11-3061,Less than a High School Diploma,0.0
11-3061,"High School Diploma - or the equivalent (for example, GED)",5.26
11-3061,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",15.79
11-3061,Some College Courses,5.26
11-3061,Associate's Degree (or other 2-year degree),10.53
11-3061,Bachelor's Degree,52.63
11-3061,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-3061,Master's Degree,10.53
11-3061,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-3061,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3061,Doctoral Degree,0.0
11-3061,Post-Doctoral Training,0.0
11-3071,,
11-3111,Less than a High School Diploma,0.0
11-3111,"High School Diploma - or the equivalent (for example, GED)",0.0
11-3111,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-3111,Some College Courses,0.0
11-3111,Associate's Degree (or other 2-year degree),0.0
11-3111,Bachelor's Degree,76.19
11-3111,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,9.52
11-3111,Master's Degree,14.29
11-3111,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-3111,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3111,Doctoral Degree,0.0
11-3111,Post-Doctoral Training,0.0
11-3121,Less than a High School Diploma,0.0
11-3121,"High School Diploma - or the equivalent (for example, GED)",0.0
11-3121,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-3121,Some College Courses,4.35
11-3121,Associate's Degree (or other 2-year degree),0.0
11-3121,Bachelor's Degree,73.91
11-3121,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,8.7
11-3121,Master's Degree,8.7
11-3121,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,4.35
11-3121,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3121,Doctoral Degree,0.0
11-3121,Post-Doctoral Training,0.0
11-3131,Less than a High School Diploma,0.0
11-3131,"High School Diploma - or the equivalent (for example, GED)",0.0
11-3131,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-3131,Some College Courses,0.0
11-3131,Associate's Degree (or other 2-year degree),0.0
11-3131,Bachelor's Degree,71.43
11-3131,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,7.14
11-3131,Master's Degree,21.43
11-3131,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-3131,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-3131,Doctoral Degree,0.0
11-3131,Post-Doctoral Training,0.0
11-9013,,
11-9021,Less than a High School Diploma,0.0
11-9021,"High School Diploma - or the equivalent (for example, GED)",5.0
11-9021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-9021,Some College Courses,0.0
11-9021,Associate's Degree (or other 2-year degree),5.0
11-9021,Bachelor's Degree,90.0
11-9021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-9021,Master's Degree,0.0
11-9021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9021,Doctoral Degree,0.0
11-9021,Post-Doctoral Training,0.0
11-9031,Less than a High School Diploma,0.0
11-9031,"High School Diploma - or the equivalent (for example, GED)",25.65
11-9031,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",6.18
11-9031,Some College Courses,19.7
11-9031,Associate's Degree (or other 2-year degree),31.95
11-9031,Bachelor's Degree,10.33
11-9031,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,5.97
11-9031,Master's Degree,0.22
11-9031,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9031,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9031,Doctoral Degree,0.0
11-9031,Post-Doctoral Training,0.0
11-9032,Less than a High School Diploma,0.0
11-9032,"High School Diploma - or the equivalent (for example, GED)",9.13
11-9032,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-9032,Some College Courses,0.0
11-9032,Associate's Degree (or other 2-year degree),0.0
11-9032,Bachelor's Degree,6.59
11-9032,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.31
11-9032,Master's Degree,37.06
11-9032,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,43.56
11-9032,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",3.22
11-9032,Doctoral Degree,0.14
11-9032,Post-Doctoral Training,0.0
11-9033,Less than a High School Diploma,0.0
11-9033,"High School Diploma - or the equivalent (for example, GED)",0.0
11-9033,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-9033,Some College Courses,0.0
11-9033,Associate's Degree (or other 2-year degree),0.0
11-9033,Bachelor's Degree,7.62
11-9033,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-9033,Master's Degree,47.94
11-9033,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9033,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9033,Doctoral Degree,37.24
11-9033,Post-Doctoral Training,7.2
11-9039,,
11-9041,Less than a High School Diploma,0.0
11-9041,"High School Diploma - or the equivalent (for example, GED)",0.0
11-9041,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-9041,Some College Courses,0.0
11-9041,Associate's Degree (or other 2-year degree),1.15
11-9041,Bachelor's Degree,45.52
11-9041,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,1.15
11-9041,Master's Degree,27.04
11-9041,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,11.85
11-9041,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",12.15
11-9041,Doctoral Degree,1.15
11-9041,Post-Doctoral Training,0.0
11-9051,Less than a High School Diploma,15.37
11-9051,"High School Diploma - or the equivalent (for example, GED)",55.19
11-9051,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",4.83
11-9051,Some College Courses,18.35
11-9051,Associate's Degree (or other 2-year degree),0.71
11-9051,Bachelor's Degree,1.91
11-9051,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,3.63
11-9051,Master's Degree,0.0
11-9051,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9051,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9051,Doctoral Degree,0.0
11-9051,Post-Doctoral Training,0.0
11-9071,Less than a High School Diploma,0.0
11-9071,"High School Diploma - or the equivalent (for example, GED)",56.51
11-9071,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",6.74
11-9071,Some College Courses,30.01
11-9071,Associate's Degree (or other 2-year degree),0.0
11-9071,Bachelor's Degree,6.74
11-9071,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-9071,Master's Degree,0.0
11-9071,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9071,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9071,Doctoral Degree,0.0
11-9071,Post-Doctoral Training,0.0
11-9072,,
11-9081,Less than a High School Diploma,18.32
11-9081,"High School Diploma - or the equivalent (for example, GED)",1.15
11-9081,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-9081,Some College Courses,5.89
11-9081,Associate's Degree (or other 2-year degree),3.05
11-9081,Bachelor's Degree,71.6
11-9081,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-9081,Master's Degree,0.0
11-9081,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9081,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9081,Doctoral Degree,0.0
11-9081,Post-Doctoral Training,0.0
11-9111,Less than a High School Diploma,0.0
11-9111,"High School Diploma - or the equivalent (for example, GED)",3.57
11-9111,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",7.14
11-9111,Some College Courses,3.57
11-9111,Associate's Degree (or other 2-year degree),10.71
11-9111,Bachelor's Degree,46.43
11-9111,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-9111,Master's Degree,21.43
11-9111,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9111,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",3.57
11-9111,Doctoral Degree,0.0
11-9111,Post-Doctoral Training,3.57
11-9121,Less than a High School Diploma,0.0
11-9121,"High School Diploma - or the equivalent (for example, GED)",0.0
11-9121,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-9121,Some College Courses,0.0
11-9121,Associate's Degree (or other 2-year degree),7.29
11-9121,Bachelor's Degree,35.07
11-9121,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,2.24
11-9121,Master's Degree,15.07
11-9121,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9121,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9121,Doctoral Degree,13.62
11-9121,Post-Doctoral Training,26.7
11-9131,Less than a High School Diploma,0.0
11-9131,"High School Diploma - or the equivalent (for example, GED)",62.1
11-9131,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",6.69
11-9131,Some College Courses,11.07
11-9131,Associate's Degree (or other 2-year degree),6.69
11-9131,Bachelor's Degree,13.44
11-9131,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-9131,Master's Degree,0.0
11-9131,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9131,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9131,Doctoral Degree,0.0
11-9131,Post-Doctoral Training,0.0
11-9141,Less than a High School Diploma,0.0
11-9141,"High School Diploma - or the equivalent (for example, GED)",15.0
11-9141,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",10.0
11-9141,Some College Courses,5.0
11-9141,Associate's Degree (or other 2-year degree),5.0
11-9141,Bachelor's Degree,55.0
11-9141,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-9141,Master's Degree,0.0
11-9141,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
11-9141,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",10.0
11-9141,Doctoral Degree,0.0
11-9141,Post-Doctoral Training,0.0
11-9151,Less than a High School Diploma,0.0
11-9151,"High School Diploma - or the equivalent (for example, GED)",7.24
11-9151,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-9151,Some College Courses,2.19
11-9151,Associate's Degree (or other 2-year degree),8.15
11-9151,Bachelor's Degree,50.36
11-9151,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
11-9151,Master's Degree,23.93
11-9151,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,8.12
11-9151,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
11-9151,Doctoral Degree,0.0
11-9151,Post-Doctoral Training,0.0
11-9161,Less than a High School Diploma,0.0
11-9161,"High School Diploma - or the equivalent (for example, GED)",4.55
11-9161,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
11-9161,Some College Courses,9.09
11-9161,Associate's Degree (or other 2-year degree),4.55
11-9161,Bachelor's Degree,59.09
11-9161,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,9.09
11-9161,Master's Degree,13.64
11-9161,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
